"","Herbarium","Accession","Genus","Phenology","DOY","elev.true","Latitude","Longitude","SpringTemp.Modern","SpringTemp.Historic","SpringPrec.Modern","SpringPrec.Historic","Anomaly","PPT.Anomaly","Year.Collected","Month.Collected","spec.epithet"
"182","UBC","V236204","Clintonia","FLOWER",173,1103,49.78313,-119.7149,8.83333333333333,9.56666666666667,150,103,-0.733333333333333,47,2010,6,"uniflora"
"183","UBC","V24945","Clintonia","FLOWER",193,1220,53.3,-120.166667,7.06666666666667,6.83333333333333,186,196,0.233333333333334,-10,1946,7,"uniflora"
"184","WTU","349721","Clintonia","FLOWER",161,600,44.700174,-120.283522,14.8666666666667,13.8333333333333,50,85,1.03333333333333,-35,2000,6,"uniflora"
"185","WTU","14905JWT","Clintonia","FLOWER",170,560,47.462899,-120.661069,11.8333333333333,12.3333333333333,43,81,-0.5,-38,1935,6,"uniflora"
"186","WTU",NA,"Clintonia","FLOWER",206,1527,48.504178,-120.733903,5.7,5.13333333333333,178,208,0.566666666666667,-30,2003,7,"uniflora"
"187","UBC","V59780","Clintonia","FLOWER",189,1372,49.033333,-120.75,5.9,5.66666666666667,85,153,0.233333333333334,-68,1956,7,"uniflora"
"188","UBC","V104545","Clintonia","FLOWER",194,1220,49.066667,-120.783333,5.73333333333333,6.23333333333333,110,146,-0.500000000000001,-36,1960,7,"uniflora"
"189","WTU","189342","Clintonia","FLOWER",172,762,47.78111,-120.84194,9.23333333333333,9.66666666666667,175,111,-0.433333333333334,64,1948,6,"uniflora"
"190","UBC","V86165","Clintonia","FLOWER",188,1280,49.049699,-120.84214,5.83333333333333,5.8,85,144,0.0333333333333332,-59,1951,7,"uniflora"
"191","WTU","372380","Clintonia","FLOWER",190,1394,47.44125,-120.939783,7.03333333333333,6.16666666666667,243,189,0.866666666666667,54,2006,7,"uniflora"
"192","WTU","370485","Clintonia","FLOWER",171,1061,47.096067,-120.99185,8.3,8.03333333333333,142,177,0.266666666666666,-35,2007,6,"uniflora"
"193","WTU","392903","Clintonia","FLOWER",195,1220,47.1252,-121.0357,7.1,7.13333333333333,259,195,-0.0333333333333323,64,2012,7,"uniflora"
"194","WWB","18474","Clintonia","FLOWER",193,1067,48.466887,-121.059959,8.6,8,280,278,0.6,2,1969,7,"uniflora"
"195","NOCA",NA,"Clintonia","FLOWER",165,477,48.678283,-121.081383,10.4333333333333,10.6666666666667,181,215,-0.233333333333333,-34,2002,6,"uniflora"
"196","EWU","2928","Clintonia","FLOWER",165,1189,46.2404,-121.136797,8.76666666666667,7.9,131,95,0.866666666666668,36,1961,6,"uniflora"
"197","WTU","353805","Clintonia","FLOWER",194,716,48.92,-121.148333,8.83333333333333,9.03333333333333,195,230,-0.199999999999999,-35,2002,7,"uniflora"
"198","WTU","314145","Clintonia","FLOWER",158,579,47.707091,-121.191013,10,8.46666666666667,276,343,1.53333333333333,-67,1987,6,"uniflora"
"199","WWB","13797","Clintonia","FLOWER",220,915,48.11833,-121.19333,8.2,8.46666666666667,376,395,-0.266666666666666,-19,1970,8,"uniflora"
"200","UBC","V52867","Clintonia","FLOWER",158,457,49.45,-121.25,10.4,9.9,158,259,0.5,-101,1949,6,"uniflora"
"201","WTU","344508","Clintonia","FLOWER",168,854,47.275,-121.325,10.2666666666667,7.6,296,286,2.66666666666667,10,1992,6,"uniflora"
"202","WTU","270791","Clintonia","FLOWER",214,1005,46.431596,-121.333688,7,6.3,113,142,0.7,-29,1977,8,"uniflora"
"203","WTU","153426","Clintonia","FLOWER",234,1524,46.15979,-121.39964,4.83333333333333,5.63333333333333,174,155,-0.800000000000001,19,1954,8,"uniflora"
